candidate,action_macro_f1,action_churn_vs_base,changed_rows,f1_action_0,pred_count_action_0,f1_action_5,pred_count_action_5,f1_action_8,pred_count_action_8,f1_action_9,pred_count_action_9,f1_action_10,pred_count_action_10,f1_action_11,pred_count_action_11,f1_action_12,pred_count_action_12,f1_action_13,pred_count_action_13,f1_action_14,pred_count_action_14,schedule,alpha
v173_action_ext20_int10_teacher70_a0p15,0.33594896742862157,0.01887295765255085,283,0.2198100407055631,379,0.2542885973763875,396,0.3184713375796178,53,0.47214854111405835,197,0.5518918097553563,3608,0.4478280340349306,1130,0.6932084309133489,706,0.5008278145695364,1236,0.23255813953488372,14,ext20_int10_teacher70,0.15
v173_action_ext20_int20_teacher60_a0p15,0.3358754578267706,0.021073691230410137,316,0.22010869565217392,378,0.2550607287449393,393,0.32051282051282054,52,0.4693333333333333,195,0.5533010296789824,3631,0.4486316733961418,1126,0.6921875,705,0.49979347377116895,1241,0.23255813953488372,14,ext20_int20_teacher60,0.15
v173_action_ext15_int15_teacher70_a0p15,0.33569514637576975,0.019673224408136045,295,0.21891891891891893,382,0.25075834175935285,394,0.3184713375796178,53,0.47214854111405835,197,0.5521435086652478,3605,0.4483221476510067,1132,0.6932084309133489,706,0.4995857497928749,1234,0.23255813953488372,14,ext15_int15_teacher70,0.15
v173_action_ext10_int20_teacher70_a0p15,0.3354592702017383,0.020340113371123708,305,0.21862348178137653,383,0.25101214574898784,393,0.3184713375796178,53,0.4734042553191489,196,0.5523954372623574,3602,0.4490161001788909,1133,0.6932084309133489,706,0.49917081260364843,1232,0.23255813953488372,14,ext10_int20_teacher70,0.15
v173_action_ext10_int10_teacher80_a0p15,0.3353743029361371,0.018739579859953316,281,0.2183288409703504,384,0.25,397,0.3184713375796178,53,0.47214854111405835,197,0.5509456985967053,3583,0.44821428571428573,1137,0.6926677067082684,707,0.5002077274615704,1227,0.23255813953488372,14,ext10_int10_teacher80,0.15
v173_action_ext05_int10_teacher85_a0p15,0.3353102397127964,0.018406135378459487,276,0.2192513368983957,390,0.24949698189134809,399,0.3184713375796178,53,0.47214854111405835,197,0.5503663003663004,3579,0.44821428571428573,1137,0.6926677067082684,707,0.5,1220,0.23255813953488372,14,ext05_int10_teacher85,0.15
v173_action_ext30_int20_teacher50_a0p15,0.3352814942139611,0.022140713571190396,332,0.2194787379972565,371,0.25380710659898476,390,0.32051282051282054,52,0.46524064171123,194,0.5519843066244152,3654,0.4486316733961418,1126,0.6917057902973396,703,0.49958847736625517,1250,0.23255813953488372,14,ext30_int20_teacher50,0.15
v173_action_ext10_int20_teacher70_a0p1,0.33521853181306066,0.013271090363454485,199,0.21686746987951808,389,0.25075834175935285,394,0.32051282051282054,52,0.46875,204,0.5485994183376703,3560,0.4469223907225691,1139,0.6931464174454829,709,0.4993757802746567,1223,0.23255813953488372,14,ext10_int20_teacher70,0.1
v173_action_ext20_int20_teacher60_a0p1,0.33520990535061995,0.014204734911637212,213,0.2180349932705249,385,0.25101214574898784,393,0.32051282051282054,52,0.46875,204,0.549618320610687,3577,0.4473214285714286,1137,0.6936866718628215,708,0.5,1228,0.23255813953488372,14,ext20_int20_teacher60,0.1
v173_action_ext15_int15_teacher70_a0p1,0.33517648466343913,0.01353784594864955,203,0.2174496644295302,387,0.25101214574898784,393,0.3184713375796178,53,0.46875,204,0.5494875325072663,3564,0.44821428571428573,1137,0.6926070038910506,710,0.4997920997920998,1225,0.23255813953488372,14,ext15_int15_teacher70,0.1
v173_action_ext20_int10_teacher70_a0p1,0.33510016728790076,0.013071023674558186,196,0.2174496644295302,387,0.25075834175935285,394,0.31645569620253167,54,0.46875,204,0.5494034873049862,3565,0.4495985727029438,1139,0.6931464174454829,709,0.4997920997920998,1225,0.23255813953488372,14,ext20_int10_teacher70,0.1
v173_action_ext10_int10_teacher80_a0p1,0.33507231723108394,0.012737579193064355,191,0.21837549933422104,393,0.25075834175935285,394,0.3184713375796178,53,0.46875,204,0.5487132352941176,3555,0.44781445138269405,1139,0.6926070038910506,710,0.5,1220,0.23255813953488372,14,ext10_int10_teacher80,0.1
v173_action_ext05_int10_teacher85_a0p075,0.3349620777391005,0.008869623207735912,133,0.2222222222222222,398,0.2545454545454545,395,0.31446540880503143,55,0.4675324675324675,205,0.5465456224034467,3526,0.44809228039041704,1151,0.6925465838509317,713,0.4981132075471698,1205,0.23255813953488372,14,ext05_int10_teacher85,0.075
v173_action_ext05_int10_teacher85_a0p1,0.33494067267848016,0.012737579193064355,191,0.21750663129973474,396,0.2505050505050505,395,0.3184713375796178,53,0.46875,204,0.548688851403159,3548,0.4479073909171861,1143,0.6926070038910506,710,0.49769970723546636,1211,0.23255813953488372,14,ext05_int10_teacher85,0.1
v173_action_ext30_int20_teacher50_a0p1,0.33483853245873824,0.01513837945981994,227,0.21680216802168023,380,0.25329280648429586,392,0.3076923076923077,52,0.47244094488188976,201,0.5495509209925408,3596,0.4495084897229669,1135,0.6926677067082684,707,0.49896394529631166,1233,0.23255813953488372,14,ext30_int20_teacher50,0.1
v173_action_ext10_int10_teacher80_a0p075,0.33475262378386883,0.008869623207735912,133,0.21779548472775564,395,0.2527805864509606,394,0.31645569620253167,54,0.4675324675324675,205,0.5469638739431206,3532,0.4482911673324456,1150,0.6925465838509317,713,0.497071129707113,1210,0.23255813953488372,14,ext10_int10_teacher80,0.075
v173_action_ext10_int10_teacher80_a0p01,0.3346205951546558,0.001333777925975325,20,0.2236842105263158,402,0.2535496957403651,391,0.31446540880503143,55,0.46632124352331605,206,0.5456518369245078,3478,0.4501323918799647,1163,0.6929012345679012,721,0.49515789473684213,1195,0.23255813953488372,14,ext10_int10_teacher80,0.01
v173_action_ext05_int10_teacher85_a0p01,0.33460534349730314,0.0012670890296765588,19,0.2233902759526938,403,0.2535496957403651,391,0.31446540880503143,55,0.46632124352331605,206,0.545821057528299,3476,0.4501323918799647,1163,0.6929012345679012,721,0.4953664700926706,1194,0.23255813953488372,14,ext05_int10_teacher85,0.01
v173_action_ext10_int20_teacher70_a0p01,0.33460107186889215,0.0016005335111703902,24,0.2236842105263158,402,0.25380710659898476,390,0.31446540880503143,55,0.46632124352331605,206,0.5453982026650139,3481,0.4503311258278146,1162,0.6934362934362934,720,0.49515789473684213,1195,0.23255813953488372,14,ext10_int20_teacher70,0.01
v173_action_ext15_int15_teacher70_a0p01,0.3345924499955739,0.0015338446148716238,23,0.2236842105263158,402,0.25380710659898476,390,0.31446540880503143,55,0.46632124352331605,206,0.5457080880074372,3481,0.4503311258278146,1162,0.6929012345679012,721,0.494949494949495,1196,0.23255813953488372,14,ext15_int15_teacher70,0.01
v173_action_ext30_int20_teacher50_a0p01,0.3345922083097745,0.0016005335111703902,24,0.22427440633245382,400,0.2535496957403651,391,0.31446540880503143,55,0.46632124352331605,206,0.5455390334572491,3483,0.4503311258278146,1162,0.6934362934362934,720,0.49474127050904504,1197,0.23255813953488372,14,ext30_int20_teacher50,0.01
v173_action_ext20_int20_teacher60_a0p01,0.33458367554221596,0.0016005335111703902,24,0.2236842105263158,402,0.25380710659898476,390,0.31446540880503143,55,0.46632124352331605,206,0.5455390334572491,3483,0.4503311258278146,1162,0.6934362934362934,720,0.49474127050904504,1197,0.23255813953488372,14,ext20_int20_teacher60,0.01
v173_action_ext20_int10_teacher70_a0p01,0.33450429576645313,0.0014004668222740914,21,0.2236842105263158,402,0.25380710659898476,390,0.31446540880503143,55,0.46632124352331605,206,0.5457080880074372,3481,0.4503311258278146,1162,0.6929012345679012,721,0.49474127050904504,1197,0.23255813953488372,14,ext20_int10_teacher70,0.01
v173_action_ext10_int20_teacher70_a0p02,0.33449295577451876,0.0027342447482494167,41,0.22397891963109354,401,0.25329280648429586,392,0.31446540880503143,55,0.46632124352331605,206,0.5451732673267327,3491,0.44984533804684046,1160,0.6924265842349304,719,0.4957912457912458,1196,0.23255813953488372,14,ext10_int20_teacher70,0.02
v173_action_ext05_int10_teacher85_a0p02,0.3344807554902955,0.0024008002667555853,36,0.2236842105263158,402,0.25303643724696356,393,0.31446540880503143,55,0.46632124352331605,206,0.5454264045813342,3488,0.4500442086648983,1159,0.6924265842349304,719,0.49557522123893805,1193,0.23255813953488372,14,ext05_int10_teacher85,0.02
v173_action_ext10_int20_teacher70_a0p075,0.3344622366935464,0.010270090030010004,154,0.21750663129973474,396,0.25380710659898476,390,0.3076923076923077,52,0.4675324675324675,205,0.5478527607361963,3547,0.44928825622775803,1145,0.6920684292379471,711,0.4974916387959866,1212,0.23255813953488372,14,ext10_int20_teacher70,0.075
v173_action_ext20_int20_teacher60_a0p075,0.3344558789376851,0.011203734578192731,168,0.21715817694369974,388,0.25303643724696356,393,0.3076923076923077,52,0.46875,204,0.5483772198407838,3559,0.44879786286731965,1143,0.6915306915306916,712,0.49937473947478117,1219,0.23255813953488372,14,ext20_int20_teacher60,0.075
v173_action_ext20_int10_teacher70_a0p005,0.33444511316662934,0.0004668222740913638,7,0.22397891963109354,401,0.25380710659898476,390,0.3105590062111801,57,0.46632124352331605,206,0.5458494957331265,3472,0.4501323918799647,1163,0.69236700077101,722,0.4953664700926706,1194,0.23255813953488372,14,ext20_int10_teacher70,0.005
v173_action_ext10_int20_teacher70_a0p005,0.33444457328326394,0.00053351117039013,8,0.22397891963109354,401,0.2535496957403651,391,0.3105590062111801,57,0.46632124352331605,206,0.5458494957331265,3472,0.4501323918799647,1163,0.69236700077101,722,0.4957841483979764,1192,0.23255813953488372,14,ext10_int20_teacher70,0.005
v173_action_ext10_int10_teacher80_a0p005,0.33444381686739777,0.0004668222740913638,7,0.22397891963109354,401,0.2535496957403651,391,0.3105590062111801,57,0.46632124352331605,206,0.5459342023587833,3471,0.4501323918799647,1163,0.69236700077101,722,0.4957841483979764,1192,0.23255813953488372,14,ext10_int10_teacher80,0.005
v173_action_ext30_int20_teacher50_a0p075,0.3344428316762251,0.011870623541180394,178,0.2180349932705249,385,0.2535496957403651,391,0.3076923076923077,52,0.46875,204,0.5489537192607301,3574,0.4500891265597148,1141,0.6915306915306916,712,0.4997920997920998,1225,0.23255813953488372,14,ext30_int20_teacher50,0.075
v173_action_ext15_int15_teacher70_a0p02,0.3344322319533221,0.0025341780593531177,38,0.22397891963109354,401,0.2535496957403651,391,0.31446540880503143,55,0.46632124352331605,206,0.5452576203001702,3490,0.44984533804684046,1160,0.6924265842349304,719,0.4955826672275978,1197,0.23255813953488372,14,ext15_int15_teacher70,0.02
v173_action_ext05_int10_teacher85_a0p005,0.3344267258390351,0.00053351117039013,8,0.22397891963109354,401,0.2535496957403651,391,0.3105590062111801,57,0.46632124352331605,206,0.5457085208753686,3470,0.4501323918799647,1163,0.69236700077101,722,0.4957841483979764,1192,0.23255813953488372,14,ext05_int10_teacher85,0.005
v173_action_ext15_int15_teacher70_a0p075,0.3344034484827327,0.01013671223741247,152,0.21779548472775564,395,0.25303643724696356,393,0.3076923076923077,52,0.4675324675324675,205,0.5476300046019328,3546,0.44928825622775803,1145,0.6915306915306916,712,0.49874686716791977,1214,0.23255813953488372,14,ext15_int15_teacher70,0.075
v173_action_ext30_int20_teacher50_a0p005,0.33439600269676495,0.0006002000666888963,9,0.22397891963109354,401,0.25380710659898476,390,0.3105590062111801,57,0.46632124352331605,206,0.5459903831239337,3474,0.4501323918799647,1163,0.6929012345679012,721,0.4953664700926706,1194,0.23255813953488372,14,ext30_int20_teacher50,0.005
v173_action_ext10_int10_teacher80_a0p02,0.33439562504403875,0.0022674224741580525,34,0.22397891963109354,401,0.2535496957403651,391,0.31446540880503143,55,0.46632124352331605,206,0.5454264045813342,3488,0.4500442086648983,1159,0.6924265842349304,719,0.494949494949495,1196,0.23255813953488372,14,ext10_int10_teacher80,0.02
v173_action_ext15_int15_teacher70_a0p005,0.33439446922253496,0.00053351117039013,8,0.22397891963109354,401,0.25380710659898476,390,0.3105590062111801,57,0.46632124352331605,206,0.5458494957331265,3472,0.4501323918799647,1163,0.69236700077101,722,0.4953664700926706,1194,0.23255813953488372,14,ext15_int15_teacher70,0.005
v173_action_ext20_int10_teacher70_a0p02,0.33439132284296247,0.0022674224741580525,34,0.22397891963109354,401,0.2535496957403651,391,0.31446540880503143,55,0.46632124352331605,206,0.5454826732673267,3491,0.4500442086648983,1159,0.6924265842349304,719,0.49474127050904504,1197,0.23255813953488372,14,ext20_int10_teacher70,0.02
v173_action_ext20_int20_teacher60_a0p05,0.3343658214152438,0.007335778592864288,110,0.21986754966887417,397,0.2535496957403651,391,0.3076923076923077,52,0.4675324675324675,205,0.5462649861666155,3533,0.4489795918367347,1151,0.6920093095422808,714,0.497907949790795,1210,0.23255813953488372,14,ext20_int20_teacher60,0.05
v173_action_ext20_int20_teacher60_a0p02,0.3343622954882711,0.002600866955651884,39,0.22397891963109354,401,0.2535496957403651,391,0.31446540880503143,55,0.46632124352331605,206,0.545229627338797,3494,0.44916003536693194,1159,0.6924265842349304,719,0.4953742640874685,1198,0.23255813953488372,14,ext20_int20_teacher60,0.02
v173_action_ext20_int20_teacher60_a0p005,0.3343453587526705,0.0006668889629876625,10,0.22397891963109354,401,0.25380710659898476,390,0.3105590062111801,57,0.46632124352331605,206,0.5459903831239337,3474,0.4501323918799647,1163,0.6929012345679012,721,0.4953664700926706,1194,0.23255813953488372,14,ext20_int20_teacher60,0.005
v173_action_ext10_int20_teacher70_a0p05,0.3343351555858921,0.006868956318772925,103,0.2222222222222222,398,0.25329280648429586,392,0.3057324840764331,53,0.4675324675324675,205,0.5457345241761626,3521,0.44809228039041704,1151,0.6924864446165763,716,0.4979044425817267,1206,0.23255813953488372,14,ext10_int20_teacher70,0.05
v173_action_ext05_int10_teacher85_a0p05,0.3343298437276921,0.005935311770590197,89,0.22427440633245382,400,0.2545454545454545,395,0.3037974683544304,54,0.4675324675324675,205,0.5465205986730443,3508,0.4481842338352524,1155,0.6929621036349575,718,0.49831932773109244,1200,0.23255813953488372,14,ext05_int10_teacher85,0.05
v173_action_ext15_int15_teacher70_a0p05,0.33431681616069914,0.006668889629876626,100,0.2222222222222222,398,0.25303643724696356,393,0.3057324840764331,53,0.4675324675324675,205,0.5460425007699414,3521,0.44809228039041704,1151,0.6934984520123839,717,0.49727463312368975,1205,0.23255813953488372,14,ext15_int15_teacher70,0.05
